artist,country,city,latitude,longitude,address,state,state_pop
Korpse,United Kingdom,Aberdeen,57.1426487,-2.0976346,"Aberdeen, Guild Street, City Centre, Aberdeen City, Alba / Scotland, AB11 6LX, United Kingdom",Scotland,2683040
Pallas,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom",Scotland,2683040
The Xcerts,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom",Scotland,2683040
Annie Lennox,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom",Scotland,2683040
Hellripper,United Kingdom,Aberdeen,57.1482429,-2.0928095,"Aberdeen City, Alba / Scotland, United Kingdom",Scotland,2683040
Jesu,United Kingdom,Abergele,53.2840692,-3.5810655,"Abergele, Conwy, Cymru / Wales, LL22 7BE, United Kingdom",Wales,3131640
Warpath,United Kingdom,Swansea,51.6195955,-3.9459248,"Swansea, Cymru / Wales, SA1 3BN, United Kingdom",Wales,3131640
Novo Amor,United Kingdom,Aberystwyth,52.4143113,-4.0816846,"Aberystwyth, Ceredigion, Cymru / Wales, SY23 1LH, United Kingdom",Wales,3131640
Radiohead,United Kingdom,Abingdon-on-Thames,51.6714842,-1.2779715,"Abingdon, Vale of White Horse, Oxfordshire, England, OX14 3UJ, United Kingdom",South East (England),9379833
Jon Anderson,United Kingdom,Accrington,53.7541156,-2.3655434,"Accrington, Hyndburn, Lancashire, England, BB5 1ES, United Kingdom",North West (England),7516113
Flood of Red,United Kingdom,Airdrie,55.8657845,-3.9795866,"Airdrie, North Lanarkshire, Alba / Scotland, ML6 6BU, United Kingdom",Scotland,2683040
Molly,United Kingdom,Anstey,52.6731584,-1.195796580802836,"Anstey, Charnwood, Leicestershire, England, United Kingdom",East Midlands (England),4934939
Bossk,United Kingdom,Ashford,51.148555,0.8722566,"Ashford, Kent, England, United Kingdom",South East (England),9379833
The Proclaimers,United Kingdom,Auchtermuchty,56.2920848,-3.2328277,"Auchtermuchty, Fife, Alba / Scotland, KY14 7AP, United Kingdom",Scotland,2683040
Martin Grech,United Kingdom,Aylesbury,51.8161412,-0.8130383,"Aylesbury, Buckinghamshire, England, United Kingdom",South East (England),9379833
Marillion,United Kingdom,Aylesbury,51.8161412,-0.8130383,"Aylesbury, Buckinghamshire, England, United Kingdom",South East (England),9379833
Sucioperro,United Kingdom,Ayr,55.4628044,-4.6302502,"Ayr, South Ayrshire, Alba / Scotland, KA7 1NE, United Kingdom",Scotland,2683040
Marmaduke Duke,United Kingdom,Ayr,55.5,-4.5,"Ayrshire, Alba / Scotland, KA5 5NL, United Kingdom",Scotland,2683040
